State/union territory,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Jharkhand,0.001301454761374601,0.0013781025183120267,0.0015077217060210837,0.0020779175620510037,0.002074086939937608,0.0022336236526846196,0.0027460485685874285,0.0028161306671285694,0.0031662135457966745,0.003930391121486669,0.00457493634048745
Karnataka,0.0021351913871071504,0.0022522235511985007,0.002403495058697463,0.003013997491152154,0.0034890273310465444,0.003988503326136942,0.004682373255544367,0.005293457382748398,0.005678394918430446,0.006814317428397925,0.009919764301497668
Kerala,0.002447284947080808,0.002715680912571295,0.0030073396778005847,0.003691183980439795,0.004214802722764653,0.004713105583398471,0.005342922513727883,0.006156786543803986,0.00701051581905539,0.00793314185175717,0.01089768305094893
Madhya Pradesh,0.0014374130045734738,0.001410162092636892,0.0016374646120139228,0.0017636108365075424,0.0019043328491133871,0.002174498965971047,0.0023846717290306194,0.002861423807679644,0.003248968237681556,0.0036890661086764398,0.004344968124802071
Maharashtra,0.002819888727175136,0.0030426045301919667,0.0034067494848866752,0.0040922902661840385,0.004722353192273737,0.005586519667579437,0.0064498285864978905,0.006998983527577036,0.007831169068862961,0.009339866184823752,0.01139381885489526
Manipur,0.0014686137750653879,0.0014917879329418772,0.0016535073138297873,0.0020843823601072037,0.0022701286326822297,0.0023833009708737864,0.002577911219215567,0.0027532187244176526,0.003008456043154979,0.003263447389099221,0.004522058823529412
Meghalaya,0.0019310047434238896,0.0019980703079117376,0.00215633423180593,0.0026096124771226225,0.0028178574199053605,0.0032633371169125992,0.0035951695103035677,0.004189930029575128,0.004479100585042644,0.005024808765763903,0.0067131782945736435
Mizoram,0.002190101237345332,0.002380743020444054,0.002498388136686009,0.0028190035736808915,0.0030559555646986216,0.003313192346424975,0.0037640560268297494,0.004423931954378504,0.0049838923630850865,0.005935699684073592,0.006617137648131267
Nagaland,0.0019959798994974875,0.002245965106340188,0.002420766676728041,0.0029390446469018975,0.0033178887993553586,0.0036568405139833712,0.004071291721286679,0.0047601271250567526,0.005313446396123561,0.005938588960153528,0.00615310763011622
Odisha,0.0012703708735226193,0.0013320061411664465,0.0016123132868907048,0.0020265306069241337,0.0021890997772209733,0.0025854352048134653,0.003239430266824369,0.00367340123146799,0.003980097801183189,0.004764684456944649,0.005503097155381903
Puducherry,0.004372689938398357,0.004924106251248252,0.0052857698289269055,0.005447831850028404,0.007361572535991141,0.007502250225022503,0.008126317638791286,0.008620689655172414,0.0103117666778411,0.010725872521710634,0.013475961538461539
Punjab,0.0032682376123814604,0.003330269583033032,0.0035984070810599223,0.003816435592058075,0.004225049197669625,0.00487977428889486,0.0057691724707647765,0.006511534806456199,0.00729692383858835,0.008254234690526408,0.00961064052193346
Rajasthan,0.0016240642752225387,0.0015343668722308187,0.0018943498452012385,0.0021248750401285446,0.002319440865966336,0.0027354843868697774,0.003056913681752851,0.0035565798166493933,0.004019138249586482,0.005024181848690082,0.006343540292933419
Sikkim,0.002099815157116451,0.0023284671532846717,0.0025765765765765765,0.0030943060498220642,0.0035026362038664324,0.003751736111111111,0.004298456260720411,0.005472881355932204,0.010273031825795646,0.012271523178807947,0.01827332242225859
Tamil Nadu,0.0023853635868345993,0.0024953415977570247,0.0027250902039027756,0.0033523450020894467,0.0038887430922560874,0.004615668175365841,0.005140159939985876,0.005797583810402934,0.006833920237952785,0.008217959363746594,0.010416039474960843
Tripura,0.0019912472647702407,0.0020739257662097644,0.002292349726775956,0.002664671554691007,0.0028993803481853053,0.0031759057180270624,0.0033860505166475314,0.0038434093161546085,0.0043037161218217376,0.0049270646628981115,0.005228089275993468
Uttar Pradesh,0.0011448332711584976,0.001219955956437685,0.0013125777812732766,0.0014796786062347758,0.0016319646232874426,0.0018377476025245212,0.0020552309858429415,0.002343805177733574,0.0027106332202940404,0.0030550377550386714,0.003623656236862651
Uttarakhand,0.001783955707386029,0.002135927942927839,0.0023203987103219653,0.002763796121809525,0.00328315694910055,0.003961776581426648,0.004853924972478618,0.005831745932610936,0.00724202895582905,0.008459244632944804,0.011434463612928812
West Bengal,0.0019599880263420476,0.002066776566690451,0.002296944026409049,0.0024986947045721264,0.0027210574832183037,0.00305253948627021,0.003448834584734442,0.0038880904191208243,0.00447897951850521,0.005112337244637668,0.005702320434725448
