MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita,STATE/UT,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Class X and above but below graduate,5,0,5,16,0,16,0,0,0,0,0,0,21,0,21,5.7771664374140303e-05
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Graduate,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,8.253094910591471e-06
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.576341127922971e-05,0.0,0.0,8.253094910591471e-06,0.0,8.253094910591471e-06,5.502063273727648e-06,5.502063273727648e-06,0.0,0.0,0.0,1.1004126547455296e-05,0.0001760660247592,0.0001788170563961,1.1004126547455296e-05,0.0001678129298486,3.576341127922971e-05,2.751031636863824e-05,2.2008253094910596e-05,5.502063273727648e-06,1.1004126547455296e-05,0.0003246217331499,0.0,5.2269601100412654e-05,2.751031636863824e-06,2.475928473177441e-05,0.0,0.0,0.000888583218707,0.0018101788170563,Andaman and Nicobar Islands,2004,0.0049876203576341,82.791,0.8279099999999999,Andaman and Nicobar Islands,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Illiterate,4,0,4,7,1,8,0,0,0,0,0,0,11,1,12,3.278688524590164e-05
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Below Class X,46,0,46,137,2,139,0,0,0,0,0,0,183,2,185,0.000505464480874317
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Class X and above but below graduate,14,0,14,10,0,10,0,0,0,0,0,0,24,0,24,6.557377049180328e-05
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Graduate,1,1,2,1,0,1,0,0,0,0,0,0,2,1,3,8.19672131147541e-06
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Post-Graduate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
3.5519125683060107e-05,0.0,0.0,8.19672131147541e-06,0.0,8.19672131147541e-06,5.46448087431694e-06,5.46448087431694e-06,0.0,0.0,0.0,1.092896174863388e-05,0.0001748633879781,0.0001775956284153,1.092896174863388e-05,0.0001666666666666,3.5519125683060107e-05,2.73224043715847e-05,2.185792349726776e-05,5.46448087431694e-06,1.092896174863388e-05,0.0003224043715846,0.0,5.191256830601093e-05,2.73224043715847e-06,2.4590163934426228e-05,0.0,0.0,0.0008825136612021,0.0017978142076502,Andaman and Nicobar Islands,2005,0.0055846994535519,83.288,0.8328799999999998,Andaman and Nicobar Islands,Educational Standard - Holding technical degree/diploma etc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
