MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR,GDP,literacy_rate_percentage,Literacy_Rate_per_capita
3.1070919792366965e-05,1.85685166322562e-05,1.6239988823066516e-06,1.0400757547713922e-05,0.0,1.0400757547713922e-05,1.4114460874165163e-05,9.134993712974915e-06,4.979467161190248e-06,2.555410005982525e-06,1.0747051427029313e-07,7.510994830668264e-06,8.62152347812796e-05,0.0002000265093935,3.643250433762937e-05,0.0001635940050558,3.583544592501663e-05,9.409640582776775e-06,6.437483804790558e-05,1.71952822832469e-06,1.0412698715966178e-05,0.0004173080069115,5.015290665947012e-06,4.231950028599098e-05,2.711839310087063e-05,6.91513053488075e-05,8.358817776578355e-08,8.836464506668545e-05,0.0004101074824554,0.0015534146367675,Andhra Pradesh,2010,0.0069708002612727,66.941,0.6694100000000001
3.076341022215391e-05,1.838474361854317e-05,1.6079261299819108e-06,1.029782102363415e-05,0.0,1.029782102363415e-05,1.3974769747342784e-05,9.044584481148247e-06,4.930185266194535e-06,2.530119057471536e-06,1.0640687624880293e-07,7.4366583511663375e-06,8.536196072403968e-05,0.0001980468426715,3.607193104834419e-05,0.0001619749116231,3.548078173585084e-05,9.316513164895187e-06,6.373771887303295e-05,1.7025100199808468e-06,1.0309644009884016e-05,0.0004131779004741,4.9656542249441365e-06,4.190066326952862e-05,2.6850001773447937e-05,6.846691337297975e-05,8.276090374906894e-08,8.749009824901574e-05,0.0004060486397654,0.0015380404582589,Andhra Pradesh,2011,0.004485664629172,67.66,0.6766
7.5591985428051e-05,4.8269581056466304e-05,2.73224043715847e-06,3.005464480874317e-05,0.0,3.005464480874317e-05,7.5591985428051e-05,5.0091074681238616e-05,2.5500910746812387e-05,2.0036429872495445e-05,1.8214936247723128e-06,7.650273224043716e-05,0.0002258652094717,0.000403460837887,3.278688524590164e-05,0.0003706739526411,2.185792349726776e-05,3.7340619307832425e-05,2.73224043715847e-05,3.6429872495446256e-06,1.1839708561020036e-05,0.0004244080145719,0.0,7.103825136612021e-05,2.73224043715847e-06,1.0018214936247722e-05,0.0,0.0,0.0005628415300546,0.0021329690346083,Arunachal Pradesh,2001,0.0019162112932604,54.34,0.5434
7.367299840227232e-05,4.704420379904136e-05,2.662879460323096e-06,2.9291674063554056e-05,0.0,2.9291674063554056e-05,7.367299840227232e-05,4.88194567725901e-05,2.485354162968223e-05,1.952778270903604e-05,1.7752529735487308e-06,7.45606248890467e-05,0.00022013136872,0.000393218533641,3.195455352387715e-05,0.0003612639801171,2.130303568258477e-05,3.6392685957748977e-05,2.662879460323096e-05,3.550505947097461e-06,1.153914432806675e-05,0.0004136339428368,0.0,6.92348659684005e-05,2.662879460323096e-06,9.76389135451802e-06,0.0,0.0,0.0005485531688265,0.0020788212320255,Arunachal Pradesh,2002,0.0018382744541097,55.601000000000006,0.5560100000000001
7.184903047091413e-05,4.587950138504155e-05,2.596952908587258e-06,2.8566481994459834e-05,0.0,2.8566481994459834e-05,7.184903047091413e-05,4.7610803324099725e-05,2.4238227146814403e-05,1.904432132963989e-05,1.7313019390581717e-06,7.271468144044321e-05,0.0002146814404432,0.0003834833795013,3.1163434903047094e-05,0.0003523199445983,2.0775623268698063e-05,3.549168975069252e-05,2.596952908587257e-05,3.4626038781163438e-06,1.1253462603878116e-05,0.0004033933518005,0.0,6.75207756232687e-05,2.596952908587258e-06,9.522160664819944e-06,0.0,0.0,0.0005349722991689,0.0020273545706371,Arunachal Pradesh,2003,0.0020498614958448,56.862,0.56862
7.011319479641832e-05,4.477107619530326e-05,2.534211860111505e-06,2.787633046122656e-05,0.0,2.787633046122656e-05,7.011319479641832e-05,4.646055076871093e-05,2.3652644027707384e-05,1.8584220307484373e-05,1.6894745734076705e-06,7.095793208312214e-05,0.0002094948471025,0.0003742186180097,3.0410542321338064e-05,0.0003438080756884,2.027369488089204e-05,3.463422875485724e-05,2.5342118601115053e-05,3.3789491468153405e-06,1.0981584727149856e-05,0.0003936475756039,0.0,6.588950836289913e-05,2.534211860111505e-06,9.292110153742188e-06,0.0,0.0,0.0005220476431829,0.0019783747254603,Arunachal Pradesh,2004,0.0029464436560229,58.123000000000005,0.58123
6.845925437149456e-05,4.371494556252062e-05,2.474430880897393e-06,2.721873968987133e-05,0.0,2.721873968987133e-05,6.845925437149456e-05,4.536456614978555e-05,2.309468822170901e-05,1.814582645991422e-05,1.6496205872649291e-06,6.928406466512702e-05,0.0002045529528208,0.0003653909600791,2.9693170570768723e-05,0.0003356977895084,1.9795447047179148e-05,3.381722203893104e-05,2.4744308808973936e-05,3.2992411745298582e-06,1.072253381722204e-05,0.0003843615968327,0.0,6.433520290333224e-05,2.474430880897393e-06,9.07291322995711e-06,0.0,0.0,0.0005097327614648,0.0019317057076872,Arunachal Pradesh,2005,0.0030971626525899,59.384,0.59384
6.68815471394037e-05,4.270749395648671e-05,2.4174053182917003e-06,2.6591458501208703e-05,0.0,2.6591458501208703e-05,6.68815471394037e-05,4.4319097502014506e-05,2.2562449637389203e-05,1.7727639000805802e-05,1.6116035455278002e-06,6.768734891216761e-05,0.0001998388396454,0.0003569701853344,2.9008863819500404e-05,0.0003279613215149,1.93392425463336e-05,3.3037872683319904e-05,2.4174053182917003e-05,3.2232070910556004e-06,1.04754230459307e-05,0.0003755036261079,0.0,6.285253827558421e-05,2.4174053182917003e-06,8.863819500402901e-06,0.0,0.0,0.000497985495568,0.001887187751813,Arunachal Pradesh,2006,0.0033102336825141,60.645,0.60645
6.537492123503466e-05,4.174543163201008e-05,2.3629489603024573e-06,2.5992438563327037e-05,0.0,2.5992438563327037e-05,6.537492123503466e-05,4.332073093887839e-05,2.205419029615627e-05,1.7328292375551355e-05,1.575299306868305e-06,6.61625708884688e-05,0.0001953371140516,0.0003489287964713,2.835538752362949e-05,0.0003205734089477,1.8903591682419655e-05,3.2293635790800254e-05,2.3629489603024576e-05,3.15059861373661e-06,1.0239445494643982e-05,0.0003670447385003,0.0,6.143667296786389e-05,2.3629489603024573e-06,8.664146187775678e-06,0.0,0.0,0.0004867674858223,0.0018446754883427,Arunachal Pradesh,2007,0.0037885948330182,61.906000000000006,0.61906
6.39346787860114e-05,4.082575874287475e-05,2.310892004313665e-06,2.5419812047450314e-05,0.0,2.5419812047450314e-05,6.39346787860114e-05,4.236635341241719e-05,2.1568325373594208e-05,1.6946541364966876e-05,1.5405946695424434e-06,6.470497612078263e-05,0.0001910337390232,0.0003412417193036,2.7730704051763985e-05,0.0003135110152518,1.848713603450932e-05,3.158219072562009e-05,2.310892004313665e-05,3.081189339084887e-06,1.0013865352025882e-05,0.0003589585580033,0.0,6.008319211215529e-05,2.310892004313665e-06,8.473270682483438e-06,0.0,0.0,0.0004760437528886,0.0018040363580342,Arunachal Pradesh,2008,0.0043806809428439,63.167,0.6316700000000001
