STATE/UT,YEAR,DEMOGRAPHIC PARTICULARS,Male Convicts,Female Convicts,Total Convicts,Male Under trial,Female Under trial,Total Under trial,Male Detenues,Female Detenues,Total Detenues,Male Others,Female Others,Total Others,Total Male,Total Female,Grand Total,grand_total_capita
Andhra Pradesh,2004,Educational Standard - Post-Graduate,31,0,31,46,0,46,0,0,0,0,0,0,77,0,77,9.7813425337234e-07
Andhra Pradesh,2004,Educational Standard - Holding technical degree/diploma etc,30,0,30,54,0,54,0,0,0,0,0,0,84,0,84,1.067055549133462e-06
Andhra Pradesh,2005,Educational Standard - Illiterate,1592,126,1718,3320,421,3741,6,0,6,0,0,0,4918,547,5465,6.869167806290725e-05
Andhra Pradesh,2005,Educational Standard - Below Class X,2271,69,2340,4056,233,4289,2,0,2,0,0,0,6329,302,6631,8.334757863406e-05
Andhra Pradesh,2005,Educational Standard - Class X and above but below graduate,701,1,702,1112,26,1138,1,0,1,0,0,0,1814,27,1841,2.3140234092188883e-05
Andhra Pradesh,2005,Educational Standard - Graduate,181,2,183,322,6,328,1,0,1,0,0,0,504,8,512,6.435524092993323e-06
Andhra Pradesh,2005,Educational Standard - Post-Graduate,35,0,35,38,0,38,0,0,0,0,0,0,73,0,73,9.175649585713136e-07
Andhra Pradesh,2005,Educational Standard - Holding technical degree/diploma etc,33,0,33,58,0,58,0,0,0,0,0,0,91,0,91,1.1438138524656102e-06
Andhra Pradesh,2006,Educational Standard - Illiterate,1700,132,1832,3908,482,4390,1,0,1,5,0,5,5614,614,6228,7.746702240797059e-05
Andhra Pradesh,2006,Educational Standard - Below Class X,2202,61,2263,3653,132,3785,16,1,17,23,0,23,5894,194,6088,7.572563140971821e-05
Andhra Pradesh,2006,Educational Standard - Class X and above but below graduate,818,6,824,1429,21,1450,0,0,0,3,0,3,2250,27,2277,2.8322480735862083e-05
Andhra Pradesh,2006,Educational Standard - Graduate,167,7,174,304,2,306,0,0,0,1,0,1,472,9,481,5.982921929709996e-06
Andhra Pradesh,2006,Educational Standard - Post-Graduate,52,0,52,50,0,50,0,0,0,2,0,2,104,0,104,1.293604741558918e-06
Andhra Pradesh,2006,Educational Standard - Holding technical degree/diploma etc,141,1,142,101,0,101,0,0,0,0,0,0,242,1,243,3.0225572326809335e-06
Andhra Pradesh,2007,Educational Standard - Illiterate,1420,155,1575,3386,466,3852,5,0,5,3,0,3,4814,621,5435,6.690663600574153e-05
Andhra Pradesh,2007,Educational Standard - Below Class X,2478,52,2530,4034,132,4166,11,0,11,11,0,11,6534,184,6718,8.270078761482459e-05
Andhra Pradesh,2007,Educational Standard - Class X and above but below graduate,1019,18,1037,957,23,980,5,0,5,6,0,6,1987,41,2028,2.496534642495747e-05
Andhra Pradesh,2007,Educational Standard - Graduate,189,6,195,221,8,229,0,0,0,0,0,0,410,14,424,5.219579331450674e-06
Andhra Pradesh,2007,Educational Standard - Post-Graduate,55,0,55,58,0,58,0,0,0,0,0,0,113,0,113,1.3910671331460522e-06
Andhra Pradesh,2007,Educational Standard - Holding technical degree/diploma etc,166,1,167,154,6,160,0,0,0,0,0,0,320,7,327,4.025477456095213e-06
Andhra Pradesh,2008,Educational Standard - Illiterate,1370,144,1514,2820,458,3278,5,0,5,4,0,4,4199,602,4801,5.8499056289958416e-05
Andhra Pradesh,2008,Educational Standard - Below Class X,2489,55,2544,3640,150,3790,5,0,5,5,0,5,6139,205,6344,7.730014853228414e-05
Andhra Pradesh,2008,Educational Standard - Class X and above but below graduate,832,14,846,1190,38,1228,9,0,9,3,0,3,2034,52,2086,2.5417419583597844e-05
Andhra Pradesh,2008,Educational Standard - Graduate,323,8,331,238,4,242,2,0,2,0,0,0,563,12,575,7.006239818105829e-06
Andhra Pradesh,2008,Educational Standard - Post-Graduate,100,1,101,42,0,42,0,0,0,0,0,0,142,1,143,1.7424213808506672e-06
Andhra Pradesh,2008,Educational Standard - Holding technical degree/diploma etc,41,1,42,88,1,89,0,0,0,0,0,0,129,2,131,1.5962042020380238e-06
Andhra Pradesh,2009,Educational Standard - Illiterate,1079,108,1187,2825,378,3203,2,1,3,4,0,4,3910,487,4397,5.303545668147848e-05
