MURDER_PER_CAPITA,ATTEMPT TO MURDER_PER_CAPITA,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_PER_CAPITA,RAPE_PER_CAPITA,CUSTODIAL RAPE_PER_CAPITA,OTHER RAPE_PER_CAPITA,KIDNAPPING & ABDUCTION_PER_CAPITA,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS_PER_CAPITA,KIDNAPPING AND ABDUCTION OF OTHERS_PER_CAPITA,DACOITY_PER_CAPITA,PREPARATION AND ASSEMBLY FOR DACOITY_PER_CAPITA,ROBBERY_PER_CAPITA,BURGLARY_PER_CAPITA,THEFT_PER_CAPITA,AUTO THEFT_PER_CAPITA,OTHER THEFT_PER_CAPITA,RIOTS_PER_CAPITA,CRIMINAL BREACH OF TRUST_PER_CAPITA,CHEATING_PER_CAPITA,COUNTERFIETING_PER_CAPITA,ARSON_PER_CAPITA,HURT/GREVIOUS HURT_PER_CAPITA,DOWRY DEATHS_PER_CAPITA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_PER_CAPITA,INSULT TO MODESTY OF WOMEN_PER_CAPITA,CRUELTY BY HUSBAND OR HIS RELATIVES_PER_CAPITA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_PER_CAPITA,CAUSING DEATH BY NEGLIGENCE_PER_CAPITA,OTHER IPC CRIMES_PER_CAPITA,TOTAL IPC CRIMES_PER_CAPITA,STATE,YEAR
2.56170792559407e-05,1.3119842634074596e-05,9.113508294646039e-07,1.1748304752108062e-05,0.0,1.1748304752108062e-05,8.887926406164702e-06,5.5132213544838915e-06,3.3747050516808106e-06,4.773312760265104e-06,2.9596343768751495e-06,2.0203113932388595e-05,0.00013600783220316806,0.0003597219026478802,8.006352385979634e-05,0.00027965837878808386,6.06273883482443e-05,1.3913890881528904e-05,3.8556456379230226e-05,2.3911680179021786e-06,1.0900116851418233e-05,0.0002726112005919269,2.7791688660900793e-06,2.547270684731264e-05,1.0106068603963925e-05,5.4951748034053844e-05,9.023275539253505e-09,8.114631692450676e-05,0.0003876669869929483,0.0015450825404129953,Maharashtra,2010
2.526385106875256e-05,1.2938936052823606e-05,8.987844163240607e-07,1.158631000053393e-05,0.0,1.158631000053393e-05,8.765372773061385e-06,5.437200775980209e-06,3.3281719970811755e-06,4.707494616192358e-06,2.918824639151405e-06,1.9924537704451207e-05,0.0001341324505668571,0.0003547617776353961,7.89595458024098e-05,0.00027580223183298625,5.979141082456796e-05,1.3722035346254471e-05,3.8024810009432785e-05,2.358196735899763e-06,1.0749817573460053e-05,0.00026885222560378737,2.7408475270080267e-06,2.5121469379037857e-05,9.966718280029189e-06,5.419403064765871e-05,8.898855607168917e-09,8.002740847527009e-05,0.0003823215334507982,0.0015237777421823553,Maharashtra,2011
9.110723626852659e-05,7.323452484742808e-05,2.179598953792502e-06,8.718395815170008e-06,0.0,8.718395815170008e-06,4.097646033129904e-05,2.7027027027027027e-05,1.3949433304272013e-05,8.718395815170008e-06,7.410636442894507e-06,8.282476024411508e-06,3.269398430688753e-05,9.45945945945946e-05,3.095030514385353e-05,6.364428945074106e-05,5.7105492589363555e-05,1.4385353095030515e-05,2.877070619006103e-05,8.718395815170008e-06,2.7898866608544026e-05,8.761987794245859e-05,0.0,9.15431560592851e-06,0.0,2.179598953792502e-06,0.0,3.051438535309503e-06,0.000478204010462075,0.0010850043591979076,Manipur,2001
8.892860182112161e-05,7.148327801889201e-05,2.1274785124670243e-06,8.509914049868097e-06,0.0,8.509914049868097e-06,3.9996596034380056e-05,2.63807335545911e-05,1.3615862479788954e-05,8.509914049868097e-06,7.2334269423878816e-06,8.08441834737469e-06,3.1912177687005363e-05,9.233256744106885e-05,3.021019487703174e-05,6.21223725640371e-05,5.573993702663603e-05,1.4041358182282359e-05,2.8082716364564717e-05,8.509914049868097e-06,2.7231724959577908e-05,8.552463620117437e-05,0.0,8.935409752361502e-06,0.0,2.1274785124670243e-06,0.0,2.978469917453834e-06,0.00046676878563526507,0.0010590588035060847,Manipur,2002
8.685172872340425e-05,6.981382978723405e-05,2.0777925531914894e-06,8.311170212765958e-06,0.0,8.311170212765958e-06,3.90625e-05,2.5764627659574467e-05,1.3297872340425532e-05,8.311170212765958e-06,7.064494680851064e-06,7.89561170212766e-06,3.116688829787234e-05,9.017619680851064e-05,2.950465425531915e-05,6.067154255319149e-05,5.443816489361702e-05,1.371343085106383e-05,2.742686170212766e-05,8.311170212765958e-06,2.6595744680851064e-05,8.352726063829788e-05,0.0,8.726728723404256e-06,0.0,2.0777925531914894e-06,0.0,2.9089095744680852e-06,0.00045586768617021276,0.0010343251329787233,Manipur,2003
8.486964996345326e-05,6.822057987492894e-05,2.0303744010395516e-06,8.121497604158207e-06,0.0,8.121497604158207e-06,3.817103873954357e-05,2.517664257289044e-05,1.299439616665313e-05,8.121497604158207e-06,6.903272963534476e-06,7.715422723950296e-06,3.0455616015593274e-05,8.811824900511655e-05,2.8831316494761635e-05,5.928693251035491e-05,5.319580930723625e-05,1.3400471046861041e-05,2.6800942093722082e-05,8.121497604158207e-06,2.598879233330626e-05,8.162105092178997e-05,0.0,8.527572484366117e-06,0.0,2.0303744010395516e-06,0.0,2.8425241614553723e-06,0.00044546414358807764,0.0010107203768374888,Manipur,2004
8.297602032713991e-05,6.669842782277275e-05,1.9850722566301413e-06,7.940289026520565e-06,0.0,7.940289026520565e-06,3.731935842464666e-05,2.461489598221375e-05,1.2704462442432904e-05,7.940289026520565e-06,6.749245672542481e-06,7.543274575194537e-06,2.977608384945212e-05,8.615213593774813e-05,2.8188026044148007e-05,5.796410989360013e-05,5.20088931237097e-05,1.3101476893758933e-05,2.6202953787517866e-05,7.940289026520565e-06,2.5408924884865808e-05,7.979990471653168e-05,0.0,8.337303477846594e-06,0.0,1.9850722566301413e-06,0.0,2.7791011592821978e-06,0.000435524853104653,0.0009881689693504844,Manipur,2005
8.116504854368932e-05,6.524271844660194e-05,1.941747572815534e-06,7.766990291262136e-06,0.0,7.766990291262136e-06,3.650485436893204e-05,2.4077669902912622e-05,1.2427184466019418e-05,7.766990291262136e-06,6.6019417475728155e-06,7.378640776699029e-06,2.912621359223301e-05,8.427184466019417e-05,2.7572815533980584e-05,5.6699029126213594e-05,5.087378640776699e-05,1.2815533980582524e-05,2.563106796116505e-05,7.766990291262136e-06,2.4854368932038836e-05,7.805825242718446e-05,0.0,8.155339805825243e-06,0.0,1.941747572815534e-06,0.0,2.7184466019417474e-06,0.00042601941747572817,0.0009666019417475728,Manipur,2006
7.94314381270903e-05,6.384919428397689e-05,1.9002736394040741e-06,7.6010945576162965e-06,0.0,7.6010945576162965e-06,3.572514442079659e-05,2.356339312861052e-05,1.2161751292186075e-05,7.6010945576162965e-06,6.460930373973853e-06,7.221039829735482e-06,2.8504104591061113e-05,8.247187595013682e-05,2.6983885679537854e-05,5.548799027059897e-05,4.9787169352386745e-05,1.254180602006689e-05,2.508361204013378e-05,7.6010945576162965e-06,2.432350258437215e-05,7.639100030404379e-05,0.0,7.981149285497111e-06,0.0,1.9002736394040741e-06,0.0,2.660383095165704e-06,0.0004169200364852539,0.0009459562176953482,Manipur,2007
7.777033564039592e-05,6.251395400759099e-05,1.8605343454640173e-06,7.442137381856069e-06,0.0,7.442137381856069e-06,3.497804569472353e-05,2.3070625883753815e-05,1.190741981096971e-05,7.442137381856069e-06,6.325816774577658e-06,7.070030512763265e-06,2.790801518196026e-05,8.074719059313835e-05,2.6419587705589045e-05,5.43276028875493e-05,4.8745999851157253e-05,1.2279526680062514e-05,2.4559053360125027e-05,7.442137381856069e-06,2.381483962193942e-05,7.47934806876535e-05,0.0,7.814244250948873e-06,0.0,1.8605343454640173e-06,0.0,2.604748083649624e-06,0.0004082012353948054,0.0009261739971719877,Manipur,2008
